Input file,Input size,Comparisons,execution time
input.txt,15000,78051,31.448603
input1.txt,30000,169229,47.568798
input2.txt,60000,370939,102.494001
input3.txt,120000,796932,231.422424
input4.txt,240000,1726962,511.053801
inputsorted.txt,15000,22974,15.625477
inputsorted1.txt,30000,54104,16.009092
inputsorted2.txt,60000,106896,31.364679
inputsorted3.txt,120000,246416,94.146967
inputsorted4.txt,240000,487584,164.606571
inputrsorted.txt,15000,22986,15.631199
inputrsorted1.txt,30000,53161,25.81358
inputrsorted2.txt,60000,107023,31.353235
inputrsorted3.txt,120000,243156,109.965563
inputrsorted4.txt,240000,489897,204.241514
inputc.txt,15000,22974,15.630245
inputc1.txt,30000,54104,16.823292
inputc2.txt,60000,106896,31.646013
inputc3.txt,120000,246416,95.073223
inputc4.txt,240000,487584,173.077345
