Input file,Input size,Comparisons,execution time
input.txt,15000,37278,2.991199
input1.txt,30000,74526,7.964849
input2.txt,60000,149478,21.3902
input3.txt,120000,298286,37.882566
input4.txt,240000,596902,79.749107
inputsorted.txt,15000,45010,5.360603
inputsorted1.txt,30000,90010,8.310318
inputsorted2.txt,60000,180012,19.635916
inputsorted3.txt,120000,360014,38.151741
inputsorted4.txt,240000,720012,82.949877
inputrsorted.txt,15000,15030,2.000332
inputrsorted1.txt,30000,30032,5.890608
inputrsorted2.txt,60000,60034,6.508112
inputrsorted3.txt,120000,120036,13.403654
inputrsorted4.txt,240000,240038,26.37434
inputc.txt,15000,15004,1.00255
inputc1.txt,30000,30004,3.123045
inputc2.txt,60000,60004,6.379128
inputc3.txt,120000,120004,14.094591
inputc4.txt,240000,240004,25.898695
