Input file,Input size,Comparisons,execution time
input.txt,15000,204358,25.04086494
input1.txt,30000,438566,56.59031868
input2.txt,60000,937285,125.7369518
input3.txt,120000,1994423,301.6002178
input4.txt,240000,4228865,671.4344025
inputsorted.txt,15000,117320,15.73419571
inputsorted1.txt,30000,249744,36.53073311
inputsorted2.txt,60000,529961,74.71585274
inputsorted3.txt,120000,1121814,161.4019871
inputsorted4.txt,240000,2371134,342.4708843
inputrsorted.txt,15000,121363,18.35274696
inputrsorted1.txt,30000,257727,36.00239754
inputrsorted2.txt,60000,545455,76.75290108
inputrsorted3.txt,120000,1150911,158.5254669
inputrsorted4.txt,240000,2421823,344.5353508
inputc.txt,15000,121363,16.75891876
inputc1.txt,30000,257727,32.98592567
inputc2.txt,60000,545455,76.359272
inputc3.txt,120000,1150911,156.9416523
inputc4.txt,240000,2421823,333.9011669
